t,x,y,vx,vy,v,Ek,Ep,E
0.28,9.899494936611667,9.515074256611666,35.35533905932738,32.60947705932737,48.097588235615284,161.93645958579586,13.063540414204112,174.99999999999997
0.29,10.253048327204938,9.840678694704938,35.35533905932738,32.51141055932737,48.03115464526273,161.48942715900006,13.510572840999945,175.0
0.3,10.606601717798213,10.165302467798211,35.35533905932738,32.41334405932737,47.964829543201056,161.04374111758332,13.956258882416668,175.0
0.31,10.960155108391486,10.488945575891485,35.35533905932738,32.31527755932737,47.898613380100755,160.5994014615457,14.400598538454274,174.99999999999997
0.32,11.313708498984761,10.81160801898476,35.35533905932738,32.21721105932737,47.832506608385536,160.15640819088725,14.843591809112768,175.00000000000003
0.33,11.667261889578036,11.133289797078032,35.35533905932738,32.11914455932737,47.76650968223415,159.71476130560785,15.28523869439214,175.0
0.34,12.020815280171309,11.453990910171306,35.35533905932738,32.02107805932737,47.70062305758214,159.27446080570763,15.725539194292404,175.00000000000003
0.35000000000000003,12.374368670764584,11.773711358264581,35.35533905932738,31.92301155932737,47.634847192123424,158.83550669118645,16.16449330881355,175.0
0.36,12.727922061357855,12.092451141357854,35.35533905932738,31.82494505932737,47.56918254531189,158.3978989620444,16.60210103795558,174.99999999999997
0.37,13.08147545195113,12.410210259451127,35.35533905932738,31.72687855932737,47.50362957836282,157.9616376182815,17.038362381718496,174.99999999999997
0.38,13.435028842544403,12.7269887125444,35.35533905932738,31.62881205932737,47.43818875425423,157.52672265989767,17.4732773401023,174.99999999999997
0.39,13.788582233137678,13.042786500637675,35.35533905932738,31.53074555932737,47.37286053772817,157.09315408689304,17.906845913106984,175.00000000000003
0.4,14.142135623730951,13.357603623730949,35.35533905932738,31.43267905932737,47.30764539529184,156.66093189926744,18.339068100732558,175.0
0.41000000000000003,14.495689014324226,13.671440081824223,35.35533905932738,31.33461255932737,47.242543795218694,156.23005609702096,18.769943902979012,174.99999999999997
0.42,14.849242404917497,13.984295874917496,35.35533905932738,31.23654605932737,47.17755620754937,155.80052668015364,19.199473319846355,175.0
0.43,15.202795795510772,14.296171003010768,35.35533905932738,31.138479559327372,47.11268310409256,155.37234364866544,19.62765635133458,175.0
0.44,15.556349186104047,14.607065466104043,35.35533905932738,31.04041305932737,47.04792495842576,154.94550700255633,20.054492997443692,175.00000000000003
0.45,15.90990257669732,14.916979264197316,35.35533905932738,30.94234655932737,46.983282245895914,154.5200167418263,20.479983258173686,175.0
0.46,16.263455967290593,15.225912397290589,35.35533905932738,30.84428005932737,46.918755443619986,154.09587286647542,20.904127133524568,175.0
0.47000000000000003,16.61700935788387,15.533864865383865,35.35533905932738,30.74621355932737,46.85434503048534,153.67307537650368,21.32692462349634,175.0
0.48,16.97056274847714,15.840836668477136,35.35533905932738,30.64814705932737,46.790051487150095,153.251624271911,21.748375728088984,174.99999999999997
0.49,17.324116139070416,16.146827806570414,35.35533905932738,30.55008055932737,46.72587529604333,152.83151955269744,22.168480447302528,174.99999999999997
0.5,17.67766952966369,16.451838279663686,35.35533905932738,30.45201405932737,46.66181694136515,152.41276121886307,22.587238781136946,175.0
0.51,18.031222920256962,16.75586808775696,35.35533905932738,30.35394755932737,46.59787690908671,151.99534927040773,23.00465072959225,174.99999999999997
0.52,18.38477631085024,17.058917230850234,35.35533905932738,30.255881059327372,46.53405568695001,151.57928370733154,23.420716292668445,175.0
0.53,18.73832970144351,17.36098570894351,35.35533905932738,30.15781455932737,46.47035376446771,151.16456452963448,23.835435470365525,175.0
0.54,19.091883092036785,17.66207352203678,35.35533905932738,30.05974805932737,46.40677163292266,150.7511917373165,24.248808262683482,175.0
0.55,19.445436482630058,17.962180670130053,35.35533905932738,29.96168155932737,46.34330978536749,150.33916533037765,24.660834669622325,174.99999999999997
0.56,19.798989873223334,18.26130715322333,35.35533905932738,29.86361505932737,46.27996871662388,149.92848530881793,25.071514691182063,175.0
0.5700000000000001,20.152543263816607,18.559452971316603,35.35533905932738,29.76554855932737,46.21674892328187,149.51915167263732,25.480848327362676,175.0
0.58,20.506096654409877,18.856618124409874,35.35533905932738,29.66748205932737,46.15365090369895,149.11116442183578,25.888835578164173,174.99999999999994
0.59,20.85965004500315,19.152802612503148,35.35533905932738,29.56941555932737,46.09067515799906,148.70452355641342,26.295476443586562,174.99999999999997
0.6,21.213203435596427,19.448006435596422,35.35533905932738,29.47134905932737,46.02782218807138,148.29922907637015,26.700770923629833,175.0
0.61,21.5667568261897,19.742229593689697,35.35533905932738,29.37328255932737,45.965092497569124,147.895280981706,27.10471901829399,175.0
0.62,21.920310216782973,20.03547208678297,35.35533905932738,29.27521605932737,45.90248659190806,147.49267927242096,27.50732072757903,175.0
0.63,22.27386360737625,20.32773391487624,35.35533905932738,29.177149559327372,45.84000497826497,147.09142394851503,27.908576051484953,174.99999999999997
0.64,22.627416997969522,20.619015077969518,35.35533905932738,29.07908305932737,45.77764816557596,146.69151500998822,28.30848499001177,175.0
0.65,22.980970388562795,20.90931557606279,35.35533905932738,28.981016559327372,45.715416664534594,146.2929524568405,28.70704754315947,174.99999999999997
0.66,23.334523779156072,21.198635409156065,35.35533905932738,28.88295005932737,45.653310987589926,145.89573628907195,29.10426371092805,175.0
0.67,23.688077169749345,21.486974577249338,35.35533905932738,28.78488355932737,45.591331648944355,145.49986650668248,29.500133493317513,175.0
0.68,24.041630560342618,21.774333080342615,35.35533905932738,28.68681705932737,45.529479164551354,145.10534310967213,29.89465689032787,175.0
0.6900000000000001,24.39518395093589,22.060710918435888,35.35533905932738,28.58875055932737,45.46775405211303,144.71216609804088,30.287833901959104,175.0
0.7000000000000001,24.748737341529168,22.34610809152916,35.35533905932738,28.49068405932737,45.40615683107755,144.32033547178878,30.679664528211223,175.0
0.71,25.102290732122437,22.63052459962243,35.35533905932738,28.39261755932737,45.3446880226364,143.92985123091574,31.070148769084224,174.99999999999997
0.72,25.45584412271571,22.913960442715705,35.35533905932738,28.29455105932737,45.28334814972148,143.54071337542192,31.45928662457812,175.00000000000003
0.73,25.809397513308983,23.19641562080898,35.35533905932738,28.19648455932737,45.22213773700207,143.1529219053071,31.847078094692897,175.0
0.74,26.16295090390226,23.477890133902253,35.35533905932738,28.098418059327372,45.161057310881624,142.76647682057143,32.23352317942856,175.0
0.75,26.516504294495533,23.758383981995525,35.35533905932738,28.00035155932737,45.10010739949437,142.38137812121488,32.6186218787851,174.99999999999997
