t,x,y,vx,vy,v,Ek,Ep,E
0.0,0.0,0.0,35.35533905932738,35.35533905932736,49.99999999999999,174.99999999999997,0.0,174.99999999999997
0.01,0.35330097267046784,0.3528108735787937,35.30486749180302,35.20687100595896,49.859376597025395,174.0170204250803,0.48438498547340686,174.5014054105537
0.02,0.7060975900052572,0.7041381266051248,35.25446797504091,35.05861489838378,49.71905058221006,173.0388793557454,0.9667330622981006,174.00561241804348
0.03,1.0583905719976003,1.0539838770237866,35.20414040618486,34.91057043403825,49.579022073537544,172.06556008378263,1.4470471382661445,173.51260722204879
0.04,1.4101806376129118,1.402350239756124,35.153884682525536,34.76273731079077,49.439291192444784,171.09704595279442,1.9253301170186152,173.02237606981302
0.05,1.7614685047902168,1.749239326704238,35.1037007015002,34.61511522694104,49.299858063841434,170.13332035804382,2.4015848980513765,172.5349052560952
0.06,2.112254890443635,2.094653246755353,35.05358836069257,34.46770388121945,49.160722816129464,169.17436674630187,2.875814376721074,172.05018112302295
0.07,2.4625405104638656,2.438594105786173,35.00354755783254,34.320502972786485,49.021885581222705,168.22016861569435,3.3480214442511165,171.56819005994547
0.08,2.8123260797196683,2.7810640066672567,34.953578190795994,34.17351220123204,48.883346494566474,167.27070951554913,3.818208987737684,171.0889185032868
0.09,3.1616123120592676,3.1220650492671336,34.903680157604626,34.02673126657491,48.745105695157434,166.3259730462449,4.286379890155375,170.6123529364003
0.1,3.5103999203118073,3.4615993304565826,34.85385335642569,33.880159869262144,48.60716332556331,165.38594285905913,4.7525370303630865,170.13847988942223
0.11,3.8586896162888333,3.799668944113016,34.80409768557183,33.73379771016836,48.46951953194282,164.45060265601708,5.216683283110028,169.6672859391271
0.12,4.206482110785838,4.136275981124976,34.75441304350083,33.587644490595224,48.332174464065574,163.5199361897411,5.678821519041895,169.19875770878298
0.13,4.553778113583458,4.4714225293957135,34.704799328815454,33.441699912270835,48.195128275332195,162.59392726330074,6.138954604705787,168.73288186800653
0.14,4.9005783334492445,4.805110673848365,34.6552564402632,33.29596367734902,48.05838112279428,161.6725597300625,6.59708540255731,168.2696451326198
0.15,5.246883478138786,5.137342496429245,34.605784276736124,33.1504354884089,47.921933167174686,160.755817493541,7.0532167709651,167.8090342645061
0.16,5.592694254397489,5.468120076113108,34.556382737270596,33.00511504845406,47.78578457288759,159.84368450724955,7.5073515642180455,167.3510360714676
0.17,5.938011367961655,5.797445488906318,34.50705172104714,32.86000206091218,47.64993550805893,158.9361447745523,7.95949263252964,166.89563740708195
0.18,6.282835523560294,6.125320807852155,34.457791127390195,32.7150962296342,47.51438614454654,158.03318234851537,8.409642822045269,166.44282517056064
0.19,6.62716742491625,6.451748103034152,34.408600855767915,32.57039725889392,47.379136657960714,157.1347813317602,8.857804974846783,165.99258630660697
0.2,6.9710077747477905,6.776729441580766,34.35948080579198,32.42590485338725,47.244187227684534,156.24092587631574,9.303981928958924,165.54490780527468
0.21,7.314357274770071,7.100266887669676,34.310430877217364,32.2816187182317,47.10953803689437,155.35160018347185,9.748176518355217,165.09977670182707
0.22,7.657216625696451,7.422362502531644,34.26145096994217,32.1375385589657,46.97518927258046,154.46678850363307,10.190391572963273,164.65718007659635
0.23,7.999586527240022,7.743018344455068,34.212540984007376,31.99366408154806,46.84114112556741,153.5864751361726,10.630629918671042,164.21710505484364
0.24,8.341467678115002,8.062236468790005,34.16370081959666,31.849994992357367,46.70739379053491,152.71064442928693,11.068894377332331,163.77953880661926
0.25,8.682860776038119,8.380018927952282,34.11493037703622,31.706530998191326,46.573947466038305,151.83928077985072,11.505187766772455,163.34446854662318
0.26,9.023766517730099,8.696367771427894,34.066229556794504,31.56327180626623,46.44080235452936,150.9723686332722,11.939512900794272,162.91188153406648
0.27,9.364185598917077,9.0112850457771,34.01759825948208,31.42021712421635,46.307958662377,150.1098924833492,12.371872589183802,162.481765072533
0.28,9.704118714332008,9.32477279463863,33.969036385851375,31.27736666009328,46.17541659988797,149.25183687212467,12.80226963771601,162.0541065098407
0.29,10.043566557716009,9.636833058733576,33.92054383679652,31.134720122365422,46.04317638132778,148.39818638974427,13.230706848160148,161.6288932379044
0.3,10.382529821819952,9.947467875870132,33.872120513353096,30.99227721991734,45.91123822494143,147.5489256743126,13.657187018286256,161.20611269259888
0.31,10.721009198405701,10.256679280947203,33.82376631669799,30.85003766204919,45.779602352974266,146.7040394117513,14.081712941870126,160.78575235362143
0.32,11.059005378247578,10.564469305958706,33.775481148149154,30.708001158476122,45.64826899169288,145.8635123356565,14.504287408699193,160.3677997443557
0.33,11.396519051133877,10.87083997999807,33.72726490916539,30.56616741932764,45.5172383714059,145.02732922715703,14.924913204578733,159.95224243173575
